Dye,Official Manufacturer,,,
5(6)-Carboxyrhodamine ,,,,
5-ROX Cadaverine ,,,,
10-Acetyl-37-dihydroxyphenoxazin ,,,,
7-AAD ,,,,
AccuClear ,Biotium,,,
AccuGreen HS ,Biotium,,,
AccuOrange ,Biotium,,,
APC (allophycocyanin) ,,,,
APC-Astral813 ,Biotium,,,
BactoView Dead 500/515 ,Biotium,,,
BactoView Dead 560/570 ,Biotium,,,
BactoView Dead 570/585 ,Biotium,,,
BactoView Dead 600/615 ,Biotium,,,
BactoView Dead 655/670 ,Biotium,,,
BactoView Dead 690/710 ,Biotium,,,
BactoView Dead 760/780 ,Biotium,,,
BactoView Live Green ,Biotium,,,
BactoView Live Red ,Biotium,,,
Calcein ,,,,
CellBrite Blue ,Biotium,,,
CellBrite Fix 488 ,Biotium,,,
CellBrite Fix 555 ,Biotium,,,
CellBrite Fix 640 ,Biotium,,,
CellBrite Green ,Biotium,,,
CellBrite NIR 680 ,Biotium,,,
CellBrite NIR 750 ,Biotium,,,
CellBrite NIR 770 ,Biotium,,,
CellBrite NIR 790 ,Biotium,,,
CellBrite Orange ,Biotium,,,
CellBrite Red ,Biotium,,,
CellBrite Steady 405 ,Biotium,,,
CellBrite Steady 488 ,Biotium,,,
CellBrite Steady 550 ,Biotium,,,
CellBrite Steady 650 ,Biotium,,,
CellBrite Steady 685 ,Biotium,,,
CF350 ,Biotium,,,
CF405L ,Biotium,,,
CF405M ,Biotium,,,
CF405S ,Biotium,,,
CF410 ,Biotium,,,
CF430 ,Biotium,,,
CF440 ,Biotium,,,
CF450 ,Biotium,,,
CF488A ,Biotium,,,
CF500 ,Biotium,,,
CF503R ,Biotium,,,
CF505 ,Biotium,,,
CF514 ,Biotium,,,
CF532 ,Biotium,,,
CF535ST ,Biotium,,,
CF540 ,Biotium,,,
CF543 ,Biotium,,,
CF550R ,Biotium,,,
CF555 ,Biotium,,,
CF568 ,Biotium,,,
CF570 ,Biotium,,,
CF575 ,Biotium,,,
CF583 ,Biotium,,,
CF583R ,Biotium,,,
CF594 ,Biotium,,,
CF594ST ,Biotium,,,
CF597R ,Biotium,,,
CF620R ,Biotium,,,
CF633 ,Biotium,,,
CF640R ,Biotium,,,
CF647 ,Biotium,,,
CF647Plus ,Biotium,,,
CF650 ,Biotium,,,
CF660C ,Biotium,,,
CF660R ,Biotium,,,
CF680 ,Biotium,,,
CF680R ,Biotium,,,
CF680T ,Biotium,,,
CF700 ,Biotium,,,
CF750 ,Biotium,,,
CF754 Tyramide ,Biotium,,,
CF770 ,Biotium,,,
CF770T ,Biotium,,,
CF790 ,Biotium,,,
CF800 ,Biotium,,,
CF820 ,Biotium,,,
CF850 ,Biotium,,,
CF870 ,Biotium,,,
CFP ,,,,
CFQ520 ,,,,
Cy3 ,,,,
Cy5 ,,,,
Cyanine 555 ,,,,
Cyanine 647 ,,,,
Cyanine 680 ,,,,
Cyanine 750 ,,,,
DAPI ,,,,
DiD ,,,,
DiI ,,,,
DiO ,,,,
DiR ,,,,
DMAO ,,,,
EGFP (GFP) ,,,,
Ethidium Bromide ,,,,
Ethidium Homodimer I ,,,,
Ethidium Homodimer III ,Biotium,,,
EvaGreen ,Biotium,,,
EvaGreen Plus ,Biotium,,,
EvaRuby ,Biotium,,,
ExoBrite 410/450 ,Biotium,,,
ExoBrite 490/515 ,Biotium,,,
ExoBrite 560/585 ,Biotium,,,
ExoBrite 640/660 ,Biotium,,,
ExoBrite 650/665 ,Biotium,,,
ExoBrite 655/670 ,Biotium,,,
Fluo-3 ,,,,
Fluo-4 ,,,,
Fluorescein (FITC) ,,,,
GelGreen ,Biotium,,,
GelRed ,Biotium,,,
Hoechst ,,,,
LipidSpot 488 ,Biotium,,,
LipidSpot 610 ,Biotium,,,
Live-or-Dye 330/410 ,Biotium,,,
Live-or-Dye 350/448 ,Biotium,,,
Live-or-Dye 375/600 ,Biotium,,,
Live-or-Dye 405/452 ,Biotium,,,
Live-or-Dye 405/545 ,Biotium,,,
Live-or-Dye 488/515 ,Biotium,,,
Live-or-Dye 510/550 ,Biotium,,,
Live-or-Dye 568/583 ,Biotium,,,
Live-or-Dye 594/614 ,Biotium,,,
Live-or-Dye 615/740 ,Biotium,,,
Live-or-Dye 640/662 ,Biotium,,,
